/tmp/nix-shell.wI2XoQ/RenderDoc/textured_terrain_test_2026.09.17_11.30.41_frame10.rdc - Frame #10

 EID  | Event                                                                                                              | Action #
130   | - => vkQueueSubmit(62)[18]: vkEndCommandBuffer(Baked Command Buffer 9387)                                          | 19    
131   | - => vkQueueSubmit(62)[19]: vkBeginCommandBuffer(Baked Command Buffer 9390)                                        | 19    
133   | - => vkQueueSubmit(62)[19]: vkEndCommandBuffer(Baked Command Buffer 9390)                                          | 19    
134   | - => vkQueueSubmit(62)[20]: vkBeginCommandBuffer(Baked Command Buffer 9389)                                        | 19    
135   | - stream_compaction_scan_batched                                                                                   |       
138   |  \- vkCmdDispatch(6816, 1, 1)                                                                                      | 19    
140   | - => vkQueueSubmit(62)[20]: vkEndCommandBuffer(Baked Command Buffer 9389)                                          | 20    
141   | - => vkQueueSubmit(62)[21]: vkBeginCommandBuffer(Baked Command Buffer 9392)                                        | 20    
143   | - => vkQueueSubmit(62)[21]: vkEndCommandBuffer(Baked Command Buffer 9392)                                          | 20    
144   | - => vkQueueSubmit(62)[22]: vkBeginCommandBuffer(Baked Command Buffer 9391)                                        | 20    
145   | - stream_compaction_scan_block_sums_batched                                                                        |       
148   |  \- vkCmdDispatch(96, 1, 1)                                                                                        | 20    
150   | - => vkQueueSubmit(62)[22]: vkEndCommandBuffer(Baked Command Buffer 9391)                                          | 21    
151   | - => vkQueueSubmit(62)[23]: vkBeginCommandBuffer(Baked Command Buffer 9394)                                        | 21    
153   | - => vkQueueSubmit(62)[23]: vkEndCommandBuffer(Baked Command Buffer 9394)                                          | 21    
154   | - => vkQueueSubmit(62)[24]: vkBeginCommandBuffer(Baked Command Buffer 9393)                                        | 21    
155   | - stream_compaction_resolve_batched                                                                                |       
158   |  \- vkCmdDispatch(6816, 1, 1)                                                                                      | 21    
160   | - => vkQueueSubmit(62)[24]: vkEndCommandBuffer(Baked Command Buffer 9393)                                          | 22    
161   | - => vkQueueSubmit(62)[25]: vkBeginCommandBuffer(Baked Command Buffer 9396)                                        | 22    
163   | - => vkQueueSubmit(62)[25]: vkEndCommandBuffer(Baked Command Buffer 9396)                                          | 22    
164   | - => vkQueueSubmit(62)[26]: vkBeginCommandBuffer(Baked Command Buffer 9395)                                        | 22    
165   | - stream_compaction_write_active_counts                                                                            |       
168   |  \- vkCmdDispatch(96, 1, 1)                                                                                        | 22    
170   | - => vkQueueSubmit(62)[26]: vkEndCommandBuffer(Baked Command Buffer 9395)                                          | 23    
171   | - => vkQueueSubmit(62)[27]: vkBeginCommandBuffer(Baked Command Buffer 9398)                                        | 23    
173   | - => vkQueueSubmit(62)[27]: vkEndCommandBuffer(Baked Command Buffer 9398)                                          | 23    
174   | - => vkQueueSubmit(62)[28]: vkBeginCommandBuffer(Baked Command Buffer 9397)                                        | 23    
175   | - compute_chunk_bases                                                                                              |       
178   |  \- vkCmdDispatch(1, 1, 1)                                                                                         | 23    
180   | - => vkQueueSubmit(62)[28]: vkEndCommandBuffer(Baked Command Buffer 9397)                                          | 24    
181   | - => vkQueueSubmit(62)[29]: vkBeginCommandBuffer(Baked Command Buffer 9400)                                        | 24    
183   | - => vkQueueSubmit(62)[29]: vkEndCommandBuffer(Baked Command Buffer 9400)                                          | 24    
184   | - => vkQueueSubmit(62)[30]: vkBeginCommandBuffer(Baked Command Buffer 9399)                                        | 24    
185   | - surface_nets_pass3_batched                                                                                       |       
188   |  \- vkCmdDispatch(5, 5, 480)                                                                                       | 24    
