/tmp/nix-shell.IFOJvY/RenderDoc/sphere_test_2026.08.29_17.33.31_frame4.rdc - Frame #4

 EID  | Event                                                                                                  | Action #
543   |   - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer) | 82    
545   |   - (wgpu internal) Indirect draw validation pass                                                      |       
551   |    \- vkCmdDispatch(1, 1, 1)                                                                           | 83    
554   |   - => vkQueueSubmit(33)[5]: vkEndCommandBuffer(Baked Command Buffer 2297)                             | 84    
555   |   - => vkQueueSubmit(33)[6]: vkBeginCommandBuffer(Baked Command Buffer 2294)                           | 84    
556   |   - clustering count pass                                                                              | 84-85 
559   |    \- vkCmdBeginRenderPass(Clear)                                                                      | 84    
566   |     - vkCmdDrawIndexedIndirect(1) => <6, 1>                                                            | 84    
567   |     - vkCmdEndRenderPass(Don't Care)                                                                   | 85    
569   |   - => vkQueueSubmit(33)[6]: vkEndCommandBuffer(Baked Command Buffer 2294)                             | 85    
570   |   - => vkQueueSubmit(33)[7]: vkBeginCommandBuffer(Baked Command Buffer 2300)                           | 85    
572   |   - => vkQueueSubmit(33)[7]: vkEndCommandBuffer(Baked Command Buffer 2300)                             | 85    
573   |   - => vkQueueSubmit(33)[8]: vkBeginCommandBuffer(Baked Command Buffer 2299)                           | 85    
574   |   - clustering allocation local pass                                                                   |       
577   |    \- vkCmdDispatch(15, 1, 1)                                                                          | 85    
579   |   - => vkQueueSubmit(33)[8]: vkEndCommandBuffer(Baked Command Buffer 2299)                             | 86    
580   |   - => vkQueueSubmit(33)[9]: vkBeginCommandBuffer(Baked Command Buffer 2302)                           | 86    
582   |   - => vkQueueSubmit(33)[9]: vkEndCommandBuffer(Baked Command Buffer 2302)                             | 86    
583   |   - => vkQueueSubmit(33)[10]: vkBeginCommandBuffer(Baked Command Buffer 2301)                          | 86    
584   |   - clustering allocation global pass                                                                  |       
587   |    \- vkCmdDispatch(1, 1, 1)                                                                           | 86    
589   |   - => vkQueueSubmit(33)[10]: vkEndCommandBuffer(Baked Command Buffer 2301)                            | 87    
590   |   - => vkQueueSubmit(33)[11]: vkBeginCommandBuffer(Baked Command Buffer 2304)                          | 87    
594   |   - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer) | 87    
596   |   - (wgpu internal) Indirect draw validation pass                                                      |       
602   |    \- vkCmdDispatch(1, 1, 1)                                                                           | 88    
605   |   - => vkQueueSubmit(33)[11]: vkEndCommandBuffer(Baked Command Buffer 2304)                            | 89    
606   |   - => vkQueueSubmit(33)[12]: vkBeginCommandBuffer(Baked Command Buffer 2303)                          | 89    
607   |   - clustering populate pass                                                                           | 89-90 
610   |    \- vkCmdBeginRenderPass(Clear)                                                                      | 89    
617   |     - vkCmdDrawIndexedIndirect(1) => <6, 1>                                                            | 89    
618   |     - vkCmdEndRenderPass(Don't Care)                                                                   | 90    
620   |   - => vkQueueSubmit(33)[12]: vkEndCommandBuffer(Baked Command Buffer 2303)                            | 90    
621   |   - => vkQueueSubmit(33)[13]: vkBeginCommandBuffer(Baked Command Buffer 2306)                          | 90    
623   |   - vkCmdCopyBuffer(clustering Z slicing metadata buffer, clustering metadata staging buffer)          | 90    
625   | - => vkQueueSubmit(33)[13]: vkEndCommandBuffer(Baked Command Buffer 2306)                              | 91    
626   | - => vkQueueSubmit(33)[14]: vkBeginCommandBuffer(Baked Command Buffer 2329)                            | 91    
627   | - => vkQueueSubmit(33)[14]: vkEndCommandBuffer(Baked Command Buffer 2329)                              | 91    
628   | - => vkQueueSubmit(33)[15]: vkBeginCommandBuffer(Baked Command Buffer 2308)                            | 91    
629   | - => vkQueueSubmit(33)[15]: vkEndCommandBuffer(Baked Command Buffer 2308)                              | 91    
630   | - => vkQueueSubmit(33)[16]: vkBeginCommandBuffer(Baked Command Buffer 2307)                            | 91    
631   | - bin unpacking                                                                                        |       
634   | - => vkQueueSubmit(33)[16]: vkEndCommandBuffer(Baked Command Buffer 2307)                              | 91    
635   | - => vkQueueSubmit(33)[17]: vkBeginCommandBuffer(Baked Command Buffer 2330)                            | 91    
636   | - => vkQueueSubmit(33)[17]: vkEndCommandBuffer(Baked Command Buffer 2330)                              | 91    
637   | - => vkQueueSubmit(33)[18]: vkBeginCommandBuffer(Baked Command Buffer 2310)                            | 91    
638   | - => vkQueueSubmit(33)[18]: vkEndCommandBuffer(Baked Command Buffer 2310)                              | 91    
639   | - => vkQueueSubmit(33)[19]: vkBeginCommandBuffer(Baked Command Buffer 2309)                            | 91    
640   | - early_mesh_preprocessing                                                                             |       
642   | - => vkQueueSubmit(33)[19]: vkEndCommandBuffer(Baked Command Buffer 2309)                              | 91    
643   | - => vkQueueSubmit(33)[20]: vkBeginCommandBuffer(Baked Command Buffer 2331)                            | 91    
645   | - => vkQueueSubmit(33)[20]: vkEndCommandBuffer(Baked Command Buffer 2331)                              | 91    
646   | - => vkQueueSubmit(33)[21]: vkBeginCommandBuffer(Baked Command Buffer 2313)                            | 91    
647   | - => vkQueueSubmit(33)[21]: vkEndCommandBuffer(Baked Command Buffer 2313)                              | 91    
648   | - => vkQueueSubmit(33)[22]: vkBeginCommandBuffer(Baked Command Buffer 2311)                            | 91    
649   | - main_opaque_pass_3d                                                                                  |       
652   |  \- vkCmdBeginRenderPass(C=Clear, D=Clear)                                                             | 91    
653   |   - vkCmdEndRenderPass(C=Store, D=Store)                                                               | 91    
655   | - => vkQueueSubmit(33)[22]: vkEndCommandBuffer(Baked Command Buffer 2311)                              | 91    
656   | - => vkQueueSubmit(33)[23]: vkBeginCommandBuffer(Baked Command Buffer 2332)                            | 91    
659   | - => vkQueueSubmit(33)[23]: vkEndCommandBuffer(Baked Command Buffer 2332)                              | 91    
660   | - => vkQueueSubmit(33)[24]: vkBeginCommandBuffer(Baked Command Buffer 2316)                            | 91    
661   | - => vkQueueSubmit(33)[24]: vkEndCommandBuffer(Baked Command Buffer 2316)                              | 91    
662   | - => vkQueueSubmit(33)[25]: vkBeginCommandBuffer(Baked Command Buffer 2314)                            | 91    
663   | - main_transparent_pass_3d                                                                             | 91-92 
666   |  \- vkCmdBeginRenderPass(C=Load, D=Load)                                                               | 91    
672   |   - vkCmdDraw(6, 96)                                                                                   | 91    
673   |   - vkCmdEndRenderPass(C=Store, D=Store)                                                               | 92    
675   | - => vkQueueSubmit(33)[25]: vkEndCommandBuffer(Baked Command Buffer 2314)                              | 92    
676   | - => vkQueueSubmit(33)[26]: vkBeginCommandBuffer(Baked Command Buffer 2333)                            | 92    
678   | - vkCmdCopyBufferToImage((wgpu internal) zero init buffer, voxel_dummy_material_texture)               | 92    
681   | - => vkQueueSubmit(33)[26]: vkEndCommandBuffer(Baked Command Buffer 2333)                              | 93    
682   | - => vkQueueSubmit(33)[27]: vkBeginCommandBuffer(Baked Command Buffer 2321)                            | 93    
684   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 93    
685   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 94    
686   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 95    
687   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 96    
688   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 97    
689   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 98    
690   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 99    
691   | - vkCmdCopyBuffer((wgpu internal) Staging, (wgpu internal) Indirect draw validation metadata buffer)   | 100   
693   | - (wgpu internal) Indirect draw validation pass                                                        | 101-108
699   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 101   
704   |   - vkCmdDispatch(1, 1, 1)                                                                             | 102   
709   |   - vkCmdDispatch(1, 1, 1)                                                                             | 103   
714   |   - vkCmdDispatch(1, 1, 1)                                                                             | 104   
719   |   - vkCmdDispatch(1, 1, 1)                                                                             | 105   
724   |   - vkCmdDispatch(1, 1, 1)                                                                             | 106   
729   |   - vkCmdDispatch(1, 1, 1)                                                                             | 107   
734   |   - vkCmdDispatch(1, 1, 1)                                                                             | 108   
737   | - => vkQueueSubmit(33)[27]: vkEndCommandBuffer(Baked Command Buffer 2321)                              | 109   
738   | - => vkQueueSubmit(33)[28]: vkBeginCommandBuffer(Baked Command Buffer 2317)                            | 109   
739   | - voxel_raster_pass                                                                                    | 109-117
742   |  \- vkCmdBeginRenderPass(C=Load, D=Load)                                                               | 109   
749   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 109   
753   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 110   
757   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 111   
761   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 112   
765   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 113   
769   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 114   
773   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 115   
777   |   - vkCmdDrawIndexedIndirect(1) => <0, 1>                                                              | 116   
778   |   - vkCmdEndRenderPass(C=Store, D=Store)                                                               | 117   
780   | - => vkQueueSubmit(33)[28]: vkEndCommandBuffer(Baked Command Buffer 2317)                              | 117   
781   | - => vkQueueSubmit(33)[29]: vkBeginCommandBuffer(Baked Command Buffer 2334)                            | 117   
783   | - => vkQueueSubmit(33)[29]: vkEndCommandBuffer(Baked Command Buffer 2334)                              | 117   
784   | - => vkQueueSubmit(33)[30]: vkBeginCommandBuffer(Baked Command Buffer 2327)                            | 117   
785   | - => vkQueueSubmit(33)[30]: vkEndCommandBuffer(Baked Command Buffer 2327)                              | 117   
786   | - => vkQueueSubmit(33)[31]: vkBeginCommandBuffer(Baked Command Buffer 2325)                            | 117   
787   | - upscaling                                                                                            | 117-118
790   |  \- vkCmdBeginRenderPass(Clear)                                                                        | 117   
793   |   - vkCmdDraw(3, 1)                                                                                    | 117   
794   |   - vkCmdEndRenderPass(Store)                                                                          | 118   
796   | - => vkQueueSubmit(33)[31]: vkEndCommandBuffer(Baked Command Buffer 2325)                              | 118   
797   | - => vkQueueSubmit(33)[32]: vkBeginCommandBuffer(Baked Command Buffer 2335)                            | 118   
799   | - => vkQueueSubmit(33)[32]: vkEndCommandBuffer(Baked Command Buffer 2335)                              | 118   
806   | - => vkQueueSubmit(1)[0]: vkBeginCommandBuffer(Baked Command Buffer 2338)                              | 118   
807   | - => vkQueueSubmit(1)[0]: vkEndCommandBuffer(Baked Command Buffer 2338)                                | 118   
809   | - vkQueuePresentKHR(Swapchain Image 340)                                                               | 118   
