/tmp/nix-shell.IFOJvY/RenderDoc/sphere_test_2026.08.29_17.33.31_frame4.rdc - Frame #4

 EID  | Event                                                                                                  | Action #
119   | - => vkQueueSubmit(82)[19]: vkBeginCommandBuffer(Baked Command Buffer 2041)                            | 21    
120   | - stream_compaction_resolve                                                                            |       
123   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 21    
125   | - => vkQueueSubmit(82)[19]: vkEndCommandBuffer(Baked Command Buffer 2041)                              | 22    
126   | - => vkQueueSubmit(82)[20]: vkBeginCommandBuffer(Baked Command Buffer 2044)                            | 22    
128   | - => vkQueueSubmit(82)[20]: vkEndCommandBuffer(Baked Command Buffer 2044)                              | 22    
129   | - => vkQueueSubmit(82)[21]: vkBeginCommandBuffer(Baked Command Buffer 2043)                            | 22    
130   | - surface_nets_pass3                                                                                   |       
133   |  \- vkCmdDispatch(4, 4, 4)                                                                             | 22    
135   | - => vkQueueSubmit(82)[21]: vkEndCommandBuffer(Baked Command Buffer 2043)                              | 23    
136   | - => vkQueueSubmit(82)[22]: vkBeginCommandBuffer(Baked Command Buffer 2046)                            | 23    
137   | - => vkQueueSubmit(82)[22]: vkEndCommandBuffer(Baked Command Buffer 2046)                              | 23    
138   | - => vkQueueSubmit(82)[23]: vkBeginCommandBuffer(Baked Command Buffer 2045)                            | 23    
139   | - surface_nets_pass1                                                                                   |       
142   |  \- vkCmdDispatch(8, 8, 8)                                                                             | 23    
144   | - => vkQueueSubmit(82)[23]: vkEndCommandBuffer(Baked Command Buffer 2045)                              | 24    
145   | - => vkQueueSubmit(82)[24]: vkBeginCommandBuffer(Baked Command Buffer 2048)                            | 24    
147   | - => vkQueueSubmit(82)[24]: vkEndCommandBuffer(Baked Command Buffer 2048)                              | 24    
148   | - => vkQueueSubmit(82)[25]: vkBeginCommandBuffer(Baked Command Buffer 2047)                            | 24    
149   | - stream_compaction_scan                                                                               |       
152   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 24    
154   | - => vkQueueSubmit(82)[25]: vkEndCommandBuffer(Baked Command Buffer 2047)                              | 25    
155   | - => vkQueueSubmit(82)[26]: vkBeginCommandBuffer(Baked Command Buffer 2050)                            | 25    
157   | - => vkQueueSubmit(82)[26]: vkEndCommandBuffer(Baked Command Buffer 2050)                              | 25    
158   | - => vkQueueSubmit(82)[27]: vkBeginCommandBuffer(Baked Command Buffer 2049)                            | 25    
159   | - stream_compaction_scan_block_sums                                                                    |       
162   |  \- vkCmdDispatch(1, 1, 1)                                                                             | 25    
164   | - => vkQueueSubmit(82)[27]: vkEndCommandBuffer(Baked Command Buffer 2049)                              | 26    
165   | - => vkQueueSubmit(82)[28]: vkBeginCommandBuffer(Baked Command Buffer 2052)                            | 26    
167   | - => vkQueueSubmit(82)[28]: vkEndCommandBuffer(Baked Command Buffer 2052)                              | 26    
168   | - => vkQueueSubmit(82)[29]: vkBeginCommandBuffer(Baked Command Buffer 2051)                            | 26    
169   | - stream_compaction_resolve                                                                            |       
172   |  \- vkCmdDispatch(64, 1, 1)                                                                            | 26    
174   | - => vkQueueSubmit(82)[29]: vkEndCommandBuffer(Baked Command Buffer 2051)                              | 27    
175   | - => vkQueueSubmit(82)[30]: vkBeginCommandBuffer(Baked Command Buffer 2054)                            | 27    
